harness_id,harness,feature,kind,text,official_aliases,sources,checked_on
claude-code,Claude Code,approval,CLI,`--allowedTools`等で許可範囲を指定。全スキップは`--dangerously-skip-permissions`。,,https://code.claude.com/docs/en/cli-reference,2026-09-13
claude-code,Claude Code,goal,SLASH,通常のagent loop。`/loop`は反復／定期実行で、独立した成果検証の保証ではない。,,https://code.claude.com/docs/en/scheduled-tasks,2026-09-13
claude-code,Claude Code,test,MIXED,シェルでテスト→修正を依頼。`/verify`は明示起動の検証skillで、決定的な必須ゲートとは別。,,https://code.claude.com/docs/en/cli-reference ; https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,delegate,MIXED,`--agents JSON` / agent定義ファイル、`/subtask TASK`でforked subagent。現行`/agents`は管理方法の案内。,,https://code.claude.com/docs/en/cli-reference ; https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,schedule,SLASH,`/loop INTERVAL PROMPT`。セッション稼働中に発火。終了中は動かず、再開時の復元に例外あり。,,https://code.claude.com/docs/en/scheduled-tasks,2026-09-13
claude-code,Claude Code,limits,CLI,printモードの`--max-turns N` / `--max-budget-usd N`。ローカルモデルの価格上限は時間制限の代用にしない。,,https://code.claude.com/docs/en/cli-reference,2026-09-13
claude-code,Claude Code,sandbox,SLASH,`/sandbox`。権限スキップとsandboxを混同しない。,,https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,extend,MIXED,`claude mcp`、`/mcp`、`/skills`、hooks / plugins,,https://code.claude.com/docs/en/cli-reference ; https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,output,CLI,"`claude -p ""PROMPT"" --output-format json` / `stream-json`",,https://code.claude.com/docs/en/cli-reference,2026-09-13
grok-build,Grok Build,start,CLI,`grok`,,https://docs.x.ai/build/cli/reference,2026-09-13
grok-build,Grok Build,model,MIXED,`--model MODEL` / `/model MODEL`,`-m` = `--model` ; `/m` = `/model`,https://docs.x.ai/build/cli/reference ; https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,headless,CLI,"`grok --single ""PROMPT""`",`-p` = `--single`,https://docs.x.ai/build/cli/headless-scripting,2026-09-13
grok-build,Grok Build,resume,CLI,`grok --continue` / `grok --resume ID`,`-c` = `--continue` ; `-r` = `--resume`,https://docs.x.ai/build/cli/reference,2026-09-13
grok-build,Grok Build,plan,SLASH,`/plan [DESCRIPTION]` / `/view-plan`,,https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,compact,SLASH,`/compact [CONTEXT]`,,https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,approval,CLI,`--always-approve`。denyルールやhooksは別に適用。,`--yolo` = `--always-approve` ; `--dangerously-skip-permissions` は互換別名,https://docs.x.ai/build/cli/reference ; https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,goal,SLASH,`/workflow NAME`で保存workflowを実行・pause/resume。独立した完了検証の有無は未確認。,,https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,test,MODEL,シェルでテスト→修正を依頼。workflowに手順を記述可能。,,https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,delegate,MIXED,`GROK_SUBAGENTS=1`、taskツール。`/tasks`で確認。,,https://docs.x.ai/build/settings/reference ; https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,schedule,SLASH,`/loop [INTERVAL] PROMPT`、`/tasks`,,https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,limits,MIXED,`--max-turns N`、modelごとの`max_retries`,,https://docs.x.ai/build/cli/reference ; https://docs.x.ai/build/settings/reference,2026-09-13
grok-build,Grok Build,sandbox,CLI,`--sandbox workspace` / `read-only` / `strict`。`--worktree`は別のGit分離。,,https://docs.x.ai/build/cli/reference ; https://docs.x.ai/build/settings/reference,2026-09-13
grok-build,Grok Build,extend,MIXED,`grok mcp`、`grok plugin`、`/skills`、hooks,,https://docs.x.ai/build/cli/reference ; https://docs.x.ai/build/modes-and-commands,2026-09-13
grok-build,Grok Build,output,CLI,`--output-format json` / `streaming-json`、`grok agent stdio`はACP,,https://docs.x.ai/build/cli/headless-scripting,2026-09-13
qwen-code,Qwen Code,start,CLI,`qwen`,,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,model,MIXED,`--model MODEL` / `/model`,`-m` = `--model`,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md ; https://qwenlm.github.io/qwen-code-docs/en/users/features/commands/,2026-09-13
qwen-code,Qwen Code,headless,CLI,"`qwen --prompt ""PROMPT""`",`-p` = `--prompt`,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,resume,CLI,`qwen --continue` / `qwen --resume ID`。headlessにも対応。,,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,plan,CLI,`--approval-mode plan`,,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,compact,SLASH,`/compress`,`/summarize` = `/compress`,https://qwenlm.github.io/qwen-code-docs/en/users/features/commands/,2026-09-13
qwen-code,Qwen Code,approval,CLI,`--approval-mode yolo` / `--yolo`。`auto`は判定による承認で全許可とは異なる。,`-y` = `--yolo`,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,goal,MIXED,"`/goal OBJECTIVE`。headlessは`qwen -p ""/goal OBJECTIVE""`。完了・blocked申告を検証役が判定。",,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md ; https://qwenlm.github.io/qwen-code-docs/en/users/features/goals/,2026-09-13
qwen-code,Qwen Code,test,MODEL,テスト合格をGoalの検証条件に記載。テスト実行・修正はモデルのツール操作。,,https://qwenlm.github.io/qwen-code-docs/en/users/features/goals/,2026-09-13
qwen-code,Qwen Code,delegate,MIXED,`/agents create` / `manage`、`/fork DIRECTIVE`、`/coordinate TASK`。subagentのモデル・権限設定に依存。,,https://qwenlm.github.io/qwen-code-docs/en/users/features/commands/ ; https://qwenlm.github.io/qwen-code-docs/en/users/features/sub-agents/,2026-09-13
qwen-code,Qwen Code,schedule,SLASH,`/loop INTERVAL PROMPT`は同梱skill。`/tasks` / `/workflows`で背景作業を確認。,,https://qwenlm.github.io/qwen-code-docs/en/users/features/commands/,2026-09-13
qwen-code,Qwen Code,limits,CLI,`--max-session-turns N` / `--max-wall-time 1h` / `--max-tool-calls N`。serve/ACPへ同じ上限が適用されると仮定しない。,,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,sandbox,CLI,`--sandbox`。`--yolo`だけでは隔離されない。,,https://qwenlm.github.io/qwen-code-docs/en/users/features/sandbox/ ; https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
qwen-code,Qwen Code,extend,SLASH,`/mcp`、`/skills`。拡張の有効化状態に依存。,,https://qwenlm.github.io/qwen-code-docs/en/users/features/commands/,2026-09-13
qwen-code,Qwen Code,output,CLI,`--output-format json` / `stream-json`,`-o` = `--output-format`,https://github.com/QwenLM/qwen-code/blob/3ba01990e13e9e8e14e147b60add50e0f972431a/docs/users/features/headless.md,2026-09-13
opencode,OpenCode,start,CLI,`opencode`,,https://opencode.ai/docs/cli/,2026-09-13
opencode,OpenCode,model,MIXED,`--model provider/MODEL` / `/models`,`-m` = `--model`,https://opencode.ai/docs/cli/ ; https://opencode.ai/docs/tui/,2026-09-13
opencode,OpenCode,headless,CLI,"`opencode run ""PROMPT""`",,https://opencode.ai/docs/cli/,2026-09-13
opencode,OpenCode,resume,CLI,`opencode --continue` / `opencode --session ID`。runにも指定可能。,`-c` = `--continue` ; `-s` = `--session`,https://opencode.ai/docs/cli/,2026-09-13
opencode,OpenCode,plan,MIXED,`--agent plan` / TUIでTabによるagent切替,,https://opencode.ai/docs/agents/,2026-09-13
opencode,OpenCode,compact,SLASH,`/compact`,`/summarize` = `/compact`,https://opencode.ai/docs/tui/,2026-09-13
opencode,OpenCode,approval,MIXED,`--auto`は明示deny以外を自動承認。`permission`設定で個別制御。,,https://opencode.ai/docs/cli/ ; https://opencode.ai/docs/permissions/,2026-09-13
opencode,OpenCode,goal,UNVERIFIED,通常のagent loop。Goalの独立検証付き継続は、本体の今回確認した資料では未確認。,,https://opencode.ai/docs/agents/,2026-09-13
opencode,OpenCode,test,MODEL,bashでテスト→修正を依頼。formatterとテスト完了ゲートは別。,,https://opencode.ai/docs/agents/,2026-09-13
opencode,OpenCode,delegate,MIXED,subagentを設定。`@general`等で利用。`opencode agent create`で作成。,,https://opencode.ai/docs/agents/ ; https://opencode.ai/docs/cli/,2026-09-13
opencode,OpenCode,schedule,CLI,`opencode serve`＋`opencode run --attach URL`。定期起動は外側で管理。,,https://opencode.ai/docs/cli/,2026-09-13
opencode,OpenCode,limits,CONFIG,agentの`steps`で推論反復を制限。プロセスの時間上限とは別。,,https://opencode.ai/docs/agents/,2026-09-13
opencode,OpenCode,sandbox,UNVERIFIED,permissionは操作許可。OS隔離の汎用フラグはこの資料群で未確認。コンテナ等を外側で用意。,,https://opencode.ai/docs/permissions/,2026-09-13
opencode,OpenCode,extend,MIXED,`opencode mcp add`、skills、plugins、カスタムコマンド,,https://opencode.ai/docs/cli/ ; https://opencode.ai/docs/tui/,2026-09-13
opencode,OpenCode,output,CLI,"`opencode run --format json ""PROMPT""`",,https://opencode.ai/docs/cli/,2026-09-13
hermes,Hermes Agent,start,CLI,`hermes` / `hermes chat`,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
hermes,Hermes Agent,model,MIXED,`hermes chat --model MODEL` / `/model`,`-m` = `--model`,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md ; https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/slash-commands.md,2026-09-13
hermes,Hermes Agent,headless,CLI,"`hermes chat --oneshot --query ""PROMPT""`。現行では`-q`単独はTTYで対話を継続する。",`-q` = `--query`,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
hermes,Hermes Agent,resume,CLI,`hermes --continue` / `hermes --resume ID`,`-c` = `--continue` ; `-r` = `--resume`,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
hermes,Hermes Agent,plan,SLASH,`/plan [TASK]`で計画ファイルを作成,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/slash-commands.md,2026-09-13
hermes,Hermes Agent,compact,SLASH,`/compress [focus TOPIC]`,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/slash-commands.md,2026-09-13
hermes,Hermes Agent,approval,CLI,`--yolo`で承認をスキップ。通常のapproval設定とは区別。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
hermes,Hermes Agent,goal,SLASH,`/goal OBJECTIVE`、`/goal pause` / `resume`。補助judgeで継続判断。ACPには未実装。,,https://hermes-agent.nousresearch.com/docs/user-guide/features/goals,2026-09-13
hermes,Hermes Agent,test,SLASH,`/goal gate add COMMAND`。終了コード0を完了の必要条件にできる。通常のjudge判断も続く。,,https://hermes-agent.nousresearch.com/docs/user-guide/features/goals,2026-09-13
hermes,Hermes Agent,delegate,MIXED,delegate機能。`/bg PROMPT`は別背景セッションで、Goalの自動タスク分割とは別。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/README.md ; https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/slash-commands.md,2026-09-13
hermes,Hermes Agent,schedule,CLI,`hermes cron create` / `list` / `tick`、`hermes gateway`。複数タスクは`hermes kanban`系。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md ; https://hermes-agent.nousresearch.com/docs/user-guide/features/goals,2026-09-13
hermes,Hermes Agent,limits,MIXED,`--max-turns N`は一会話ターン内のtool反復。Goalは`goals.max_turns`、gateには別のtimeout/retry。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md ; https://hermes-agent.nousresearch.com/docs/user-guide/features/goals,2026-09-13
hermes,Hermes Agent,sandbox,CONFIG,terminal backendにDocker / SSH等を選択。`--worktree`は別のGit分離。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/README.md ; https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
hermes,Hermes Agent,extend,MIXED,skills / MCP / plugins。`/skills`で管理。,,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/README.md ; https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/slash-commands.md,2026-09-13
hermes,Hermes Agent,output,CLI,"`hermes -z ""PROMPT""`は最終テキスト出力。構造化制御はRPC/SDK面を別途使用。",,https://github.com/NousResearch/hermes-agent/blob/819988acb750836387fbb9d5d76203a9b3f530f4/website/docs/reference/cli-commands.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),start,CLI,`dsh web`（未導入なら`npx @deepseek-ai/dsh web`）,`dsh web` = `dsh --profile web`,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),model,UI,Webのモデル選択 / `settings.yaml`。`--model`をlauncherの共通引数とは扱わない。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/user/guide/providers.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),headless,CLI,"`dsh --profile headless ""PROMPT""`。新規永続sessionを作る単発実行。",,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),resume,MIXED,Webの既存sessionまたはSDKで復元。共通CLIの`--resume`は資料で未確認。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/user/guide/python-sdk.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),plan,SLASH,`/plan [PROMPT]` / `/plan off`（command adapterのあるUI）,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/plan/plan-mode/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),compact,UNVERIFIED,compaction subsystemあり。共通CLI／slashの正式な呼出綴りは未確定。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),approval,CONFIG,permission presetで制御。base-backed新規sessionは`workspace-write`。汎用`--yolo`を想定しない。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/subsystems/permission-presets.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),goal,MIXED,`/goal OBJECTIVE` / `pause` / `resume`。Goalサービス＋command＋round-driverの構成に依存。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/goal/command-goal/README.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/goal/goal-round-driver/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),test,MODEL,シェルで検証。Goal保存自体には独立した成果検証の保証はない。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/goal/goal-round-driver/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),delegate,EXTENSION,subagentプラグイン構成。Codex / Claude委譲は別の任意bundleで、ローカルモデル利用の必須条件ではない。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),schedule,UI,Schedule UI／schedule subsystem。配置したprofileと稼働ホストに依存。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/user/guide/schedule.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),limits,CONFIG,Goalの`maxGoalRounds`（既定256）。round-driverはcap到達等で停止。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/goal/goal-round-driver/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),sandbox,CONFIG,sandbox / permission presetを構成。Planモードだけではツールを強制制限しない。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/packages/plan/plan-mode/README.md ; https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/subsystems/permission-presets.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),extend,CLI,`dsh plugin --profile NAME add PACKAGE`。MCP clientは同梱、serverは既定で未有効。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),output,CLI,headlessはstdoutに最終文。`dsh --profile sdk`はJSON-RPC、`--profile acp`はACP。,,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/apps/cli/reference/README.md,2026-09-13
pi,Pi (TypeScript本家),start,CLI,`pi`,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),model,MIXED,`--provider PROVIDER --model MODEL` / `/model`,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),headless,CLI,"`pi --print ""PROMPT""`",`-p` = `--print`,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),resume,CLI,`pi --continue`、`pi --resume`でpicker、`pi --session PATH_OR_ID`で指定,`-c` = `--continue` ; `-r` = `--resume`,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),plan,EXTENSION,標準Planモードなし。計画ファイル、extension / packageで追加。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),compact,SLASH,`/compact [PROMPT]`、`/tree`で会話の分岐へ移動,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),approval,NONE,標準でツール承認popupなし。`--approve`はproject trust用でツール承認とは別。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),goal,EXTENSION,標準Goal機構としては扱わない。RPC / extensionで継続制御を実装。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md ; https://pi.dev/docs/latest/rpc,2026-09-13
pi,Pi (TypeScript本家),test,MODEL,bashでテスト→修正を依頼。完了ゲートはextension／外部runnerで実装。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),delegate,EXTENSION,標準subagentなし。extension、package、複数Piプロセスで構成。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),schedule,EXTENSION,標準background bashなし。tmuxや外部schedulerで構成。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),limits,UNVERIFIED,汎用max-turnsフラグは今回のCLI一覧で未確認。RPCのabortや外部timeoutで補う。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md ; https://pi.dev/docs/latest/rpc,2026-09-13
pi,Pi (TypeScript本家),sandbox,EXTENSION,標準のOS隔離は外部containerまたはextensionで構成。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),extend,MIXED,`pi install PACKAGE`。標準MCPなし、extensionで追加。skillsは`/skill:NAME`。,,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md,2026-09-13
pi,Pi (TypeScript本家),output,CLI,"`pi --mode json -p ""PROMPT""` / `pi --mode rpc`",,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/README.md ; https://pi.dev/docs/latest/rpc,2026-09-13
aider,Aider,start,CLI,`aider`,,https://aider.chat/docs/config/options.html,2026-09-13
aider,Aider,model,MIXED,`--model MODEL` / `/model MODEL`,,https://aider.chat/docs/config/options.html ; https://aider.chat/docs/usage/commands.html,2026-09-13
aider,Aider,headless,CLI,"`aider --message ""PROMPT""` / `--message-file FILE`",`-m` / `--msg` = `--message` ; `-f` = `--message-file`,https://aider.chat/docs/config/options.html,2026-09-13
aider,Aider,resume,CLI,`--restore-chat-history`。履歴復元であり、停止した任意プロセスを復旧するものではない。,,https://aider.chat/docs/config/options.html,2026-09-13
aider,Aider,plan,SLASH,`/ask`で相談、`/architect`で設計→editorへ。専用のOS読み取り制限とは別。,,https://aider.chat/docs/usage/modes.html,2026-09-13
aider,Aider,compact,UNVERIFIED,自動履歴要約あり。共通`/compact`の存在は今回のcommand一覧で確認できない。,,https://aider.chat/docs/config/options.html ; https://aider.chat/docs/usage/commands.html,2026-09-13
aider,Aider,approval,CLI,`--yes-always`で確認へ自動Yes,,https://aider.chat/docs/config/options.html,2026-09-13
aider,Aider,goal,EXTENSION,一依頼の編集と修正。大きい目標のキュー／継続／完了判定は外部runnerで補う。,,https://aider.chat/docs/config/options.html ; https://aider.chat/docs/usage/modes.html,2026-09-13
